Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Pct of delay train
2024-05-01,National,VALENCE ALIXAN TGV,PARIS LYON,133.0,394.0,1.0,241.0,118.28872062060988,5.316369048,62.0,345.3266769288485,6.004719388,38.0,40.14078947,25.0,3.0,19.35483871,29.03225806,29.03225806,12.90322581,4.83870968,4.83870968,61.32315521628499
2024-05-01,National,MONTPELLIER,LYON PART DIEU,112.0,152.0,0.0,18.0,13.41944444,1.579057018,32.0,24.43177083,7.51875,20.0,30.49833333,8.0,2.0,9.375,15.625,46.875,12.5,9.375,6.25,11.842105263157894
2024-05-01,National,NANCY,PARIS EST,95.0,291.0,0.0,59.0,9.34039548,1.970904926,35.0,23.51666667,4.075658648,17.0,38.26960784,8.0,3.0,2.8571428600000006,25.71428571,37.14285714,17.14285714,2.8571428600000006,14.28571429,20.274914089347078
2024-05-01,National,PARIS MONTPARNASSE,ANGOULEME,131.0,221.0,0.0,22.0,13.777272726999998,0.9521870287000002,22.0,19.52651515,3.928959276,7.0,34.84761905,4.0,1.0,10.0,25.0,25.0,25.0,10.0,5.0,9.95475113122172
2024-05-01,National,PARIS LYON,NICE VILLE,341.0,234.0,0.0,30.0,30.64388889,30.62165761769024,54.0,52.32839506,13.96723647,54.0,52.32839506,30.0,16.0,20.37037037,33.333333329999995,14.814814809999998,9.25925926,72.0439601026586,9.25925926,12.82051282051282
2024-04-01,National,LILLE,PARIS NORD,69.0,710.0,2.0,142.0,9.246830986,1.660920715287853,148.0,19.28366006817605,4.644713731,46.0,38.66884057973913,15.0,8.0,8.307955845,37.81880472,24.89531785,13.79901028,5.60525314,9.573658165,20.056497175141246
2024-04-01,National,PARIS MONTPARNASSE,LE MANS,62.0,432.0,2.0,44.0,13.21515152,0.963139535,52.0,18.67467949,2.151511628,21.0,31.69920635,10.0,0.0,10.63829787,8.5106383,36.17021277,38.29787234,6.3829787200000005,0.0,10.232558139534884
2024-04-01,International,STUTTGART,PARIS EST,202.0,123.0,0.0,92.0,8.634057971,6.055413105,17.0,345.3266769288485,9.77037037,17.0,84.08529412,9.0,7.0,5.88235294,47.05882353,5.88235294,29.41176471,72.0439601026586,5.88235294,74.79674796747967
2024-04-01,National,PARIS NORD,DOUAI,71.0,136.0,0.0,12.0,11.80277778,0.660171569,24.0,16.85138889,4.31372549,8.0,32.94583333,4.0,0.0,0.0,39.13043478,26.08695652,13.04347826,13.04347826,8.695652169999999,8.823529411764707
2024-04-01,International,PARIS LYON,ITALIE,502.0,28.0,0.0,1.0,14.76666667,0.45952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571
2024-04-01,National,PARIS MONTPARNASSE,ANGOULEME,131.0,255.0,0.0,29.0,19.25747126,1.74875817,28.0,345.3266769288485,5.472091503,20.0,36.34583333,7.0,3.0,3.57142857,14.28571429,25.0,14.28571429,14.28571429,28.57142857,11.372549019607844
2024-04-01,National,PARIS MONTPARNASSE,NANTES,135.0,609.0,0.0,57.0,11.14005848,0.65651341,365.28344208809136,31.58652482,2.569376026,33.0,39.40606061,14.0,7.0,36.17021277,8.5106383,27.65957447,21.27659574,4.25531915,2.12765957,9.35960591133005
